id,Elevation,Aspect,Slope,Wilderness,Soil_Type,Hillshade_9am,Hillshade_noon,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Label
108,elevation_high,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,4,high,1
109,elevation_medium,aspect_ultra,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,high,2
110,elevation_ultra,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,5,2,mid,1
111,elevation_high,aspect_ultra,slope_medium,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,4,1,high,1
112,elevation_medium,aspect_ultra,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,4,1,high,2
113,elevation_medium,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,4,1,high,2
114,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_max,4,1,high,2
115,elevation_ultra,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,5,3,mid,1
116,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,3,high,2
117,elevation_high,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,3,high,1
118,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,1,high,2
119,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,3,high,1
120,elevation_medium,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,4,2,high,2
121,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,0,0,mid,2
122,elevation_high,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_max,3,3,high,2
123,elevation_high,aspect_medium,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_min,0,0,high,2
124,elevation_high,aspect_ultra,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,2,2,high,2
125,elevation_medium,aspect_medium,slope_medium,rawah,cryaquolis_a,hillshade_9am_max,hillnoon_min,0,0,high,2
126,elevation_high,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,5,4,high,2
127,elevation_medium,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,1,high,2
128,elevation_medium,aspect_medium,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_min,1,1,high,2
129,elevation_medium,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,2,high,2
130,elevation_high,aspect_ultra,slope_medium,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,0,0,high,2
131,elevation_high,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,0,0,high,2
132,elevation_high,aspect_low,slope_medium,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,2,0,high,1
133,elevation_high,aspect_low,slope_high,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,2,1,high,2
134,elevation_medium,aspect_low,slope_medium,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,0,0,high,2
135,elevation_ultra,aspect_medium,slope_low,rawah,como_a,hillshade_9am_max,hillnoon_max,3,0,mid,2
136,elevation_high,aspect_ultra,slope_medium,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,0,0,high,1
137,elevation_high,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,5,4,high,1
138,elevation_high,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,0,0,high,2
139,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_min,4,1,high,2
140,elevation_ultra,aspect_high,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_max,6,4,mid,1
141,elevation_high,aspect_ultra,slope_ultra,rawah,leighcan_c,hillshade_9am_min,hillnoon_max,1,1,high,2
142,elevation_high,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_max,hillnoon_max,4,1,high,2
143,elevation_high,aspect_ultra,slope_ultra,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,3,3,high,2
144,elevation_high,aspect_high,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_max,4,0,high,2
145,elevation_medium,aspect_high,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,4,2,high,2
146,elevation_high,aspect_medium,slope_high,rawah,leighcan_c,hillshade_9am_max,hillnoon_min,3,1,high,1
147,elevation_ultra,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,5,3,mid,2
148,elevation_high,aspect_low,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_min,3,0,high,2
149,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,4,1,high,2
150,elevation_ultra,aspect_medium,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,0,0,mid,1
151,elevation_high,aspect_ultra,slope_ultra,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,4,4,high,1
152,elevation_high,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,2,high,2
153,elevation_medium,aspect_low,slope_medium,rawah,legault_a,hillshade_9am_min,hillnoon_min,3,2,high,2
154,elevation_ultra,aspect_high,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_max,5,3,mid,2
155,elevation_ultra,aspect_high,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_max,1,0,mid,2
156,elevation_high,aspect_ultra,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,5,2,high,1
157,elevation_high,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,4,1,high,2
158,elevation_medium,aspect_low,slope_medium,rawah,rogert_a,hillshade_9am_min,hillnoon_min,4,1,high,2
159,elevation_medium,aspect_low,slope_medium,rawah,rogert_a,hillshade_9am_min,hillnoon_min,5,0,high,2
160,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,4,3,mid,1
161,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_max,2,1,mid,1
162,elevation_high,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,4,4,high,2
163,elevation_medium,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,1,high,2
164,elevation_ultra,aspect_ultra,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,3,1,mid,1
165,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,2,mid,1
166,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,5,0,mid,2
167,elevation_high,aspect_ultra,slope_ultra,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,1,2,high,2
168,elevation_high,aspect_high,slope_medium,rawah,leighcan_b,hillshade_9am_min,hillnoon_max,4,1,mid,2
169,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,4,3,mid,1
170,elevation_high,aspect_high,slope_high,rawah,como_b,hillshade_9am_max,hillnoon_min,1,1,high,2
171,elevation_ultra,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,0,mid,1
172,elevation_high,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,4,4,high,2
173,elevation_medium,aspect_ultra,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,4,3,high,2
174,elevation_ultra,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,4,mid,1
175,elevation_high,aspect_low,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_min,5,4,high,1
176,elevation_medium,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,5,2,high,2
177,elevation_high,aspect_ultra,slope_high,rawah,leighcan_c,hillshade_9am_min,hillnoon_max,4,4,high,2
178,elevation_high,aspect_medium,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_min,4,1,high,2
179,elevation_ultra,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,5,4,mid,1
180,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,6,3,high,2
181,elevation_high,aspect_ultra,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,0,0,high,2
182,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,5,1,high,1
183,elevation_high,aspect_medium,slope_medium,rawah,como_b,hillshade_9am_max,hillnoon_min,0,0,high,2
184,elevation_ultra,aspect_ultra,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,5,3,mid,1
185,elevation_ultra,aspect_medium,slope_low,rawah,como_a,hillshade_9am_max,hillnoon_max,5,0,mid,1
186,elevation_high,aspect_low,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,3,3,mid,1
187,elevation_high,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,0,0,high,2
188,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,4,2,high,2
189,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,0,mid,1
190,elevation_ultra,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,4,mid,1
191,elevation_high,aspect_high,slope_medium,rawah,como_b,hillshade_9am_min,hillnoon_max,4,4,high,2
192,elevation_medium,aspect_high,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,1,0,high,2
193,elevation_ultra,aspect_medium,slope_low,rawah,como_a,hillshade_9am_max,hillnoon_max,5,0,mid,1
194,elevation_medium,aspect_high,slope_medium,rawah,legault_a,hillshade_9am_max,hillnoon_max,1,0,high,2
195,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_min,4,2,high,2
196,elevation_high,aspect_low,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,4,3,mid,1
197,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,6,4,high,2
198,elevation_high,aspect_ultra,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,3,2,high,2
199,elevation_medium,aspect_high,slope_medium,rawah,legault_a,hillshade_9am_max,hillnoon_max,1,0,high,2
200,elevation_high,aspect_ultra,slope_high,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,3,3,high,2
201,elevation_ultra,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,6,3,mid,1
202,elevation_medium,aspect_medium,slope_low,rawah,como_a,hillshade_9am_max,hillnoon_min,4,2,high,2
203,elevation_ultra,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,5,4,mid,1
204,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,2,0,mid,1
205,elevation_medium,aspect_medium,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_min,0,0,high,2
206,elevation_ultra,aspect_low,slope_medium,rawah,typic_b,hillshade_9am_min,hillnoon_min,6,0,mid,1
207,elevation_high,aspect_high,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_min,3,3,high,2
208,elevation_high,aspect_low,slope_high,rawah,como_b,hillshade_9am_max,hillnoon_min,3,2,high,2
209,elevation_medium,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,1,high,2
210,elevation_ultra,aspect_low,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,6,4,mid,1
211,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,3,high,2
212,elevation_high,aspect_ultra,slope_high,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,5,4,high,2
213,elevation_high,aspect_ultra,slope_high,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,5,4,high,2
214,elevation_high,aspect_low,slope_medium,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,2,1,high,2
215,elevation_ultra,aspect_low,slope_high,rawah,moran_b,hillshade_9am_min,hillnoon_min,6,3,mid,1
216,elevation_high,aspect_low,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,2,0,mid,1
217,elevation_ultra,aspect_low,slope_medium,rawah,leighcan_b,hillshade_9am_min,hillnoon_min,6,4,mid,1
218,elevation_high,aspect_low,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,0,0,mid,1
219,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,5,3,high,2
220,elevation_medium,aspect_low,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,2,1,high,2
221,elevation_high,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,6,4,high,2
222,elevation_high,aspect_low,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,3,1,mid,1
223,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,4,3,high,2
224,elevation_high,aspect_low,slope_medium,rawah,legault_a,hillshade_9am_min,hillnoon_min,5,4,high,1
225,elevation_medium,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,3,1,high,2
226,elevation_high,aspect_high,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_max,6,4,high,2
227,elevation_high,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,2,high,2
228,elevation_high,aspect_ultra,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,5,4,high,1
229,elevation_high,aspect_high,slope_medium,rawah,como_b,hillshade_9am_min,hillnoon_max,4,4,high,2
230,elevation_high,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,3,1,high,2
231,elevation_high,aspect_high,slope_low,rawah,leighcan_b,hillshade_9am_min,hillnoon_max,0,0,high,1
232,elevation_high,aspect_high,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_max,3,1,high,2
233,elevation_high,aspect_low,slope_medium,rawah,legault_a,hillshade_9am_min,hillnoon_min,5,3,high,2
234,elevation_medium,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_max,hillnoon_max,3,1,high,2
235,elevation_medium,aspect_ultra,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,1,1,high,2
236,elevation_ultra,aspect_ultra,slope_low,rawah,leighcan_b,hillshade_9am_min,hillnoon_max,6,3,mid,1
237,elevation_ultra,aspect_low,slope_medium,rawah,leighcan_b,hillshade_9am_min,hillnoon_min,6,2,mid,1
238,elevation_medium,aspect_ultra,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,0,1,high,2
239,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,5,3,high,2
240,elevation_high,aspect_low,slope_low,rawah,leighcan_c,hillshade_9am_min,hillnoon_min,4,2,high,2
241,elevation_medium,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,3,mid,2
242,elevation_ultra,aspect_low,slope_low,rawah,moran_b,hillshade_9am_min,hillnoon_min,5,3,mid,1
243,elevation_high,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,6,4,high,2
244,elevation_high,aspect_low,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_min,4,2,high,1
245,elevation_high,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,2,0,high,2
